ref,manufacturer,company_location,review_date,country_of_bean_origin,specific_bean_origin,cocoa_percent,number_of_ingredients,ingredients,rating,characteristics,Characteristics 2,Characteristics 3,,
887,Middlebury,U.S.A.,2012,Bolivia,Alto Beni,0.75,4," B,S*,C,Sa",2,sticky, cardboard,why bother,,
531,Majani,Italy,2010,Ecuador,Ecuador,0.7,4," B,S,C,L",2,strong vanilla, some spice,,,
300,Maglio,Italy,2008,Tanzania,Africa,0.75,4," B,S,C,V",2,chalky, astringent, vanilla,,
451,Pralus,France,2009,Venezuela,Cuyagua,0.75,4," B,S,C,L",2,creamy, burnt,ashey, lemon,
280,Pralus,France,2008,Dominican Republic,Dominican Republic-Organic,0.75,4," B,S,C,L",2,sandy, sour,,,
81,Michel Cluizel,France,2006,Blend,Noir Infini,0.99,4," B,S,C,V",2,smooth, bold, bitter,,
24,Michel Cluizel,France,2006,Blend,Carre Grand Noir,0.85,4," B,S,C,V",2,bitter coffee flavor,,,,
24,Michel Cluizel,France,2006,Blend,Carre Amer,0.6,4," B,S,C,V",2,sweet, crisp nibs,,,
237,Caoni (Tulicorp),Ecuador,2008,Ecuador,Esmeraldas,0.77,4," B,S,C,L",2,grainy, intense, bitter,,
414,Hoja Verde (Tulicorp),Ecuador,2009,Ecuador,Arriba,0.8,4," B,S,C,L",2,perfume, burning,,,
887,French Broad,U.S.A.,2012,Peru,"Palo Blanco w/ panela, Chulucanas, b. 120725A",0.81,2," B,S*",2,sandpaper, some fruit, bitter,,
2154,Casa,U.S.A.,2018,Blend,"Ecuador, Vietnam",0.75,2," B,S",2,off notes, vanilla,,,
188,Theo,U.S.A.,2007,Venezuela,"Venezuela; Barinos, Merida, Tachron",0.91,2," B,S",2,dry, very bland, mild bitter,,
1502,Love Bar,U.S.A.,2015,Nicaragua,Nicaragua,0.75,2," B,S",2,multiple off flavors, metallic,,,
1189,Marsatta,U.S.A.,2013,Dominican Republic,Dominican Republic,0.74,4," B,S,C,V",2.25,waxy, rubber, medicinal,,
2374,Bean,U.K.,2019,Peru,Peru,0.7,4," B,S,C,V",2.25,strong vanilla, off notes,,,
2402,Cocoa Carib,St. Lucia,2019,St. Lucia,St. Lucia,0.7,4," B,S,C,V",2.25,raw, dirty, metallic, dry,
1283,Finca,U.S.A.,2014,Puerto Rico,Puerto Rico,0.65,3," B,S,C",2.25,intense, molasses, sweet,,
1121,SRSLY,U.S.A.,2013,Dominican Republic,Dominican Republic,0.84,3," B,S,L",2.25,gritty,intense coffee, metallic,,
1666,Damson,U.K.,2015,Grenada,Crayfish Bay aka Non Pariel Estate,0.7,3," B,S,C",2.25,off, pungent, intense,,
871,Rozsavolgyi,Hungary,2012,Venezuela,"Rio Caribe Superior, Paria Penninsula, b. R380",0.76,3," B,S,C",2.25,fatty, burnt, nut, vegetal,
600,Cacao Atlanta,U.S.A.,2010,Venezuela,Patanemo,0.75,2," B,S",2.25,over roasted, bitter, nutty,,
1526,Nibble,U.S.A.,2015,Venezuela,Patanemo,0.72,2," B,S",2.25,molasses, nut, roasty, bitter,
1403,Nathan Miller,U.S.A.,2014,Peru,Peru,0.72,2," B,S",2.25,metallic, medicinal, pungent,,
1279,Isidro,U.S.A.,2014,Peru,"Peru, batch 25",0.72,2," B,S",2.25,off notes, pungent,,,
2150,hexx,U.S.A.,2018,Peru,"Maranon, batch 0723",0.7,2," B,S*",2.25,light color, sour, pungent,,
1271,Paul Young,U.K.,2014,Madagascar,"Madagascar, w/ shell",0.73,2," B,S*",2.25,sticky, mild citrus, earthy,,
749,C-Amaro,Italy,2011,Sao Tome,Sao Tome,0.78,2," B,S",2.25,burnt up front,,,,
206,El Rey,Venezuela,2008,Venezuela,"Carenero Superior, Bucare",0.58,5," B,S,C,V,L",2.5,gritty, sweet, banana, smoke,
206,El Rey,Venezuela,2008,Venezuela,"Carenero Superior, Apamate",0.74,5," B,S,C,V,L",2.5,sandy, banana, sour,,
2182,Vivra,U.S.A.,2018,Haiti,"Pisa, Adul de Nord",0.7,5," B,S,C,V,L",2.5,vanilla, late cocoa notes,,,
2178,Vivra,U.S.A.,2018,Bolivia,Alto Beni,0.7,5," B,S,C,V,L",2.5,earthy, vanilla,,,
1720,Vivra,U.S.A.,2016,Venezuela,Ocumare,0.7,5," B,S,C,V,L",2.5,nutty, off notes,,,
1720,Vivra,U.S.A.,2016,Peru,Peru,0.7,5," B,S,C,V,L",2.5,pungent, metallic,,,
284,TCHO,U.S.A.,2008,Peru,Nutty-beta,0.7,5," B,S,C,V,L",2.5,dry, musty, flat,,
280,TCHO,U.S.A.,2008,Peru,Fruity-beta,0.7,5," B,S,C,V,L",2.5,tangy, off, musty, sour,
199,TCHO,U.S.A.,2008,Ghana,Chocolatey-beta,0.7,5," B,S,C,V,L",2.5,gritty,sweet,swiss miss,vanilla,
478,Oakland Chocolate Co.,U.S.A.,2010,Jamaica,Jamaica,0.7,5," B,S,C,V,L",2.5,grassy, vanilla, burnt,,
1363,Kyya,U.S.A.,2014,Ecuador,Ecuador,0.725,5,"B,S,C,V,Sa",2.5,intense, bourbon, vanilla,,
1359,Kyya,U.S.A.,2014,Uganda,Uganda,0.725,5,"B,S,C,V,Sa",2.5,vanilla, earth, cardboard,,
87,Guittard,U.S.A.,2006,Venezuela,Sur del Lago,0.65,5," B,S,C,V,L",2.5,sweet, creamy, vanilla,,
15,Green & Black's (ICAM),U.K.,2006,Blend,Dark,0.7,5," B,S,C,V,L",2.5,mildly rich, basic, roasty,,
1049,Loiza,Puerto Rico,2013,Puerto Rico,Puerto Rico,0.65,5," B,S,C,V,L",2.5,black pepper, vanilla, harsh,,
2242,Sweet Escalier,Japan,2018,Peru,San Martin,0.7,5," B,S,C,V,L",2.5,pungent, molasses, sour,,
241,Grenada Chocolate Co.,Grenada,2008,Grenada,Grenada,0.71,5," B,S,C,V,L",2.5,very sour, grassy, fatty,,
1173,Alain Ducasse,France,2013,Peru,"Piura, Perou",0.75,5," B,S,C,V,L",2.5,cardboard, dirt, roasty,,
1061,Alain Ducasse,France,2013,Venezuela,Chuao,0.75,5," B,S,C,V,L",2.5,sandy, dirt, ashey,,
153,Valrhona,France,2007,Blend,"Abinao, West Africa",0.85,5," B,S,C,V,L",2.5,berries, tart, bitter,,
75,Valrhona,France,2006,Trinidad,Gran Couva 2005 P.,0.64,5," B,S,C,V,L",2.5,nutty, vegetal, sweet,,
1800,Summerbird,Denmark,2016,Peru,Peru,0.61,5," B,S,C,V,L",2.5,sandy, sweet, vanilla,,
531,Neuhaus (Callebaut),Belgium,2010,Papua New Guinea,Papua New Guinea,0.7,5," B,S,C,V,L",2.5,gritty, vanilla, non-descript,,
2044,Franceschi,Venezuela,2018,Venezuela,Rio Caribe,0.6,4," B,S,C,L",2.5,large grits, sweet,,,
170,Dean and Deluca (Belcolade),U.S.A.,2007,Madagascar,Madagascar,0.66,4," B,S,C,V",2.5,sandy, cloying, rich cocoa,,
672,Ethel's Artisan (Mars),U.S.A.,2011,Blend,"Venezuela, Trinidad",0.62,4," B,S,C,V",2.5,gritty, sweet, vanilla, woody,
666,Ethel's Artisan (Mars),U.S.A.,2011,Venezuela,Porcelana,0.7,4," B,S,C,V",2.5,strong vanilla, strawberry, nut,,
666,Ethel's Artisan (Mars),U.S.A.,2011,Trinidad,Trinidad,0.55,4," B,S,C,V",2.5,grits, very sweet, banana,,
666,Ethel's Artisan (Mars),U.S.A.,2011,Blend,"Peru, Madagascar",0.55,4," B,S,C,V",2.5,gritty,overyly sweet,fruit punch,,
1093,Davis,U.S.A.,2013,Ghana,Ghana,0.7,4," B,S,C,L",2.5,vanilla, fatty, basic cocoa,,
2574,Dancing Lion,U.S.A.,2021,Puerto Rico,"Puerto Rico, collab w/ USDA (Juan Echevarria)",0.68,4," B,S,C,L",2.5,harsh woody/green, cocoa base,,,
1125,Altus aka Cao Artisan,U.S.A.,2013,Venezuela,Sur del Lago,0.6,4," B,S,C,L",2.5,sweet, moldy, off,,
1486,Bisou,U.S.A.,2015,Costa Rica,"San Andres, silk",0.78,4," B,S,C,V",2.5,sour, tart, molasses,,
184,Theo,U.S.A.,2007,Ivory Coast,Ivory Coast,0.75,4," B,S,C,V",2.5,dry, gritty, hint of fruit, sour,
1105,Tabal,U.S.A.,2013,Mexico,"Chiapas, Lacandon Jungle, batch 95",0.7,4," B,S,C,V",2.5,vanilla, fuel, earthy,,
943,StRita Supreme,U.S.A.,2012,Philippines,"Samar, East Visayas region",0.7,4," B,S,C,V",2.5,dry, sweet, vanilla(n),,
939,StRita Supreme,U.S.A.,2012,Philippines,"Samar, East Visayas region",0.65,4," B,S,C,V",2.5,vanilla, sweet,,,
721,Shark's,U.S.A.,2011,U.S.A.,"Hawai'i Island, Hilo, w/ added cocoa butter",0.73,4," B,S,C,V",2.5,perfume, floral, chemical,,
1772,Pinellas,U.S.A.,2016,Honduras,Wampusirpi Region,0.8,4," B,S,V,L",2.5,banana, earthy ending,,,
1073,Millcreek Cacao Roasters,U.S.A.,2013,Ecuador,Ecuador,0.7,4," B,S,C,V",2.5,unrefined, burnt nuts, vanilla,,
887,Middlebury,U.S.A.,2012,Indonesia,"Balinese, Java",0.7,4," B,S*,C,Sa",2.5,leather, salt,,,
1189,Marsatta,U.S.A.,2013,Dominican Republic,Dominican Republic,0.89,4," B,S,C,V",2.5,fatty, rubber, medicinal,,
672,Madre,U.S.A.,2011,Dominican Republic,Dominican,0.7,4," B,S,C,V",2.5,sandy, sweet, strong vanilla,,
2064,Damson,U.K.,2018,Blend,"Angel Bar, Nicaragua, Madagascar",0.65,4," B,S,C,L",2.5,sweet, vinegar,,,
117,Chocovic,Spain,2007,Grenada,Guyave,0.71,4," B,S,C,L",2.5,sweet, cardboard,,,
117,Chocovic,Spain,2007,Ecuador,"Bolivar, Guaranda",0.71,4," B,S,C,L",2.5,earthy, floral, mild bitter,,
2406,Diogo Vaz,Sao Tome & Principe,2019,Sao Tome,"Sao Tome, Grand Cru Plantation, amelonado",0.75,4," B,S,C,L",2.5,late cocoa, harsh, off notes,,
1137,Pascha,Peru,2013,Peru,Peru,0.55,4," B,S,C,V",2.5,gritty, sweet, off,,
2732,Mesjokke,Netherlands,2022,Honduras,"Honduras, batch 744",0.72,4," B,S,C,L",2.5,chewy, woody, off notes,,
2306,Heinde & Verre,Netherlands,2019,Blend,"Dutch Blend, Ven.- Bali- Trinidad",0.71,4," B,S,C,L",2.5,sandy, fatty, chemical,,
2302,Heinde & Verre,Netherlands,2019,Indonesia,"Pulau, Bali",0.71,4," B,S,C,L",2.5,rubber, fatty, sandy,grape,
841,Menakao (aka Cinagra),Madagascar,2012,Madagascar,Madagascar,0.72,4," B,S,C,L",2.5,uneven, smokey, hammy,,
837,Menakao (aka Cinagra),Madagascar,2012,Madagascar,Madagascar,0.8,4," B,S,C,L",2.5,sticky, tart, slight burnt,,
867,Naive,Lithuania,2012,Grenada,Grenada,0.71,4," B,S,C,V",2.5,sandy, oranges,,,
1788,Indah,India,2016,India,India (south),0.61,4," B,S,C,L",2.5,sour, sweet, rubber,,
166,Hachez,Germany,2007,Ecuador,Arriba,0.77,4," B,S,C,V",2.5,buttery, floral, burnt,,
237,Caoni (Tulicorp),Ecuador,2008,Ecuador,Manabi,0.77,4," B,S,C,L",2.5,perfume, chemical off note,,,
245,Cacaoyere (Ecuatoriana),Ecuador,2008,Ecuador,Bolivar,0.82,4," B,S,C,L",2.5,cloying, fatty, bitter,,
439,Republica del Cacao (aka Confecta),Ecuador,2009,Ecuador,"Los Rios, Vinces",0.75,4," B,S,C,L",2.5,strong rubber, off chemical,,,
263,Kallari (Ecuatoriana),Ecuador,2008,Ecuador,Cacao Nacional W.F.,0.75,4," B,S,C,V",2.5,grassy, earthy, coffee,,
248,Kallari (Ecuatoriana),Ecuador,2008,Ecuador,Diego/ original micro,0.85,4," B,S,C,V",2.5,crumbly, vanilla, bitter,,
377,Choklat,Canada,2009,Venezuela,Ocumare,0.8,4," B,S,C,V",2.5,dry, ashey, medicinal,,
1219,Chocolats Privilege,Canada,2014,Mexico,Xoconusco,0.7,4," B,S,C,V",2.5,fatty, vanilla, mass market,,
1287,Finca,U.S.A.,2014,Dominican Republic,Dominican Republic,0.85,3," B,S,C",2.5,intense, molasses, bitter,,
2350,ENNA,U.S.A.,2019,Sierra Leone,Gola Rainforest,0.7,3," B,S,C",2.5,dirty, earthy, burnt, honey,
1732,Altus aka Cao Artisan,U.S.A.,2016,Peru,Villa Andina,0.6,3," B,S,C",2.5,sandy, sweet, sour, off,
1732,Altus aka Cao Artisan,U.S.A.,2016,Bolivia,CIAAB Coop,0.6,3," B,S,C",2.5,sandy, sweet, pungent,,
2688,Conjure,U.S.A.,2021,Ivory Coast,"Ivory Coast, Rainforest Alliance, batch 7",0.7,3," B,S,C",2.5,off, harsh, dirty, chemical,
2688,Conjure,U.S.A.,2021,Philippines,Malah Na Bulong,0.7,3," B,S,C",2.5,cocoa, grass, off notes,,
2080,Chocolibrium,U.S.A.,2018,India,"Anamalai, Tamil Nadu",0.63,3," B,S,C",2.5,sandy, tart, ham, sweet,
1247,Cello,U.S.A.,2014,Ecuador,Ecuador,0.7,3," B,S,C",2.5,burnt rubber, leather,,,
1105,Castronovo,U.S.A.,2013,Peru,"San Martin, batch 155",0.7,3," B,S,C",2.5,sandy, fruity, acidic, metallic,
1804,Cao,U.S.A.,2016,Venezuela,Porcelana,0.75,3," B,S,C",2.5,nutty, burnt, fuel,,
1323,Burnt Fork Bend,U.S.A.,2014,Ecuador,"Ecuador, Bob Bar",0.6,3," B,S,C",2.5,sweet, sour dairy,,,
2012,Stone Grindz,U.S.A.,2017,Bolivia,"Wild Bolivia, batch 260",0.7,3," B,S,C",2.5,fatty, rubber, off notes,,
2354,River-Sea,U.S.A.,2019,Peru,Ucayali,0.7,3," B,S,C",2.5,fatty, rubbery, off,,
2354,River-Sea,U.S.A.,2019,Fiji,"Vanua Levu, Matasawalevu",0.7,3," B,S,C",2.5,fatty, rubbery, nutty,,
2290,Bankston,U.S.A.,2019,Belize,Belize,0.72,3," B,S,C",2.5,gritty, fatty, sour, off,
829,Pomm (aka Dead Dog),U.S.A.,2012,Dominican Republic,"La Red, 2011",0.76,3," B,S,C",2.5,molasses, banana, chemical,,
1506,Pitch Dark,U.S.A.,2015,Nicaragua,Tenor,0.62,3," B,S,C",2.5,coarse, earthy, metal, sweet,
2198,Moka Origins,U.S.A.,2018,Brazil,Brazil,0.72,3," B,S,C",2.5,dirty, rubbery, spicy,,
1117,Middlebury,U.S.A.,2013,Dominican Republic,La Red,0.75,3," B,S*,Sa",2.5,molassses, palm, spicy,,
1219,Mana,U.S.A.,2014,Peru,Peru,0.74,3," B,S,C",2.5,rubber, off medicinal,,,
2426,MaDe Atlantic City Chocolate Bar,U.S.A.,2019,Uganda,Uganda,0.75,3," B,S,C",2.5,gritty, roasty, rubbery,,
2446,Goodnow Farms,U.S.A.,2019,Colombia,Boyaca,0.73,3," B,S,C",2.5,acidic, mildly burnt, metallic,,
1367,Garden Island,U.S.A.,2014,U.S.A.,"Kaua'i Island, Alea Estate +world",0.85,3," B,S,V",2.5,gritty, ambiguous,,,
863,Fruition,U.S.A.,2012,Peru,Peru,0.7,3," B,S,C",2.5,oily, tart, chlorine,,
523,Duffy's,U.K.,2010,Ecuador,Star of Ecuador,0.7,3," B,S,C",2.5,chalky, bread, dirt,,
1672,Dormouse,U.K.,2015,Venezuela,"Rio Caribe, Batch 7",0.7,3," B,S,C",2.5,burnt rubber, molasses,,,
2052,Bullion,U.K.,2018,Bolivia,"Alto Beni, No.2, Batch 17, 2016",0.7,3," B,S,C",2.5,dirt, earthy, floral,,
2366,Solkiki,U.K.,2019,Philippines,"Kablon Farms, Red Pod, 2018 harvest",0.7,3," B,S,C",2.5,intense, dirty,floral,medicinal,
355,Artisan du Chocolat,U.K.,2009,Venezuela,"Ocumare, Venezuela",0.75,3," B,S,C",2.5,oily, nutty, burnt, sour,
2174,Fu Wan,Taiwan,2018,Taiwan,"Taiwan, #1",0.7,3," B,S,C",2.5,cheesy off flavor,,,,
1832,De Villiers,South Africa,2016,Uganda,Bundibugyo District,0.7,3," B,S,C",2.5,high roast, intense, fatty,,
919,Chocolate Tree,Scotland,2012,Ecuador,Ecuador,0.82,3," B,S,C",2.5,sandy, fruity, burnt,,
1169,Wilkie's Organic,Ireland,2013,Peru,Amazonas,0.75,3," B,S,C",2.5,light color, grit, metallic,,
2298,Chococard (Lapos),Hungary,2019,Nicaragua,La Dalia,0.72,3," B,S,C",2.5,grassy, rubbery,,,
871,Rozsavolgyi,Hungary,2012,Madagascar,"Sambirano, Akesson Estate, batch MT3802",0.72,3," B,S,C",2.5,buttery, sour tang, off notes,,
809,Rozsavolgyi,Hungary,2012,Venezuela,Sur del Lago,0.84,3," B,S,C",2.5,fatty, chemical, roasty,,
717,Rozsavolgyi,Hungary,2011,Venezuela,Porcelana,0.71,3," B,S,C",2.5,intense, burnt, chemical,,
558,Coppeneur,Germany,2010,Ecuador,"Los Rios, H. Iara",0.72,3," B,S,C",2.5,harsh aroma, melon floral,off,,
123,Bonnat,France,2007,Ecuador,Equateur,0.75,3," B,S,C",2.5,dry, floral, bitter,,
1379,Ara,France,2014,Mexico,Chiapas,0.72,3," B,S,C",2.5,earthy, sour milk, leather,,
1049,Nahua,Costa Rica,2013,Costa Rica,"Costa Rica, Oscuro",0.58,3," B,S,C",2.5,too sweet, earthy, off notes,,
2474,McGuire,Canada,2020,Guatemala,"Cahabon E., ""Adioesmac""",0.7,3," B,S,C",2.5,musty, woody, rubbery, roasty,
2250,Mestico,Brazil,2018,Brazil,"Fazenda Bonanca, Bahia",0.75,3," B,S,C",2.5,earthy, floral, rubbery,,
2740,Didier Smeets,Belgium,2022,Bali,Bali,0.65,3," B,S,C",2.5,earthy, astringent, metallic,,
2740,Cedric de Taeye,Belgium,2022,Trinidad,"Gran Couva, 2018 harvest (75% Beans)",0.75,3," B,S,C",2.5,grassy, fatty, bittersweet,,
1283,Cravve,Australia,2014,Papua New Guinea,"New Ireland, batch 1702",0.7,3," B,S,C",2.5,true to sugar, molasses,,,
2278,Cacao de Origen,Venezuela,2019,Venezuela,"Barlovento, Familia Rojas",0.75,2," B,S",2.5,high astringent, sandy, grass,,
1391,Cacao de Origen,Venezuela,2014,Venezuela,"Agua Fria; Sucre region, H. La Trinidad",0.75,2," B,S",2.5,intense, earthy, fuel,,
2438,Aelan,Vanuatu,2019,Vanuatu,"Malekula Island, batch M10/19",0.7,2," B,S",2.5,unrefined, sweet, metallic,,
883,French Broad,U.S.A.,2012,Peru,"Tumbes Coop, batch 120724M",0.7,2," B,S",2.5,fruit, cough medicine,,,
2390,Double Spiral,U.S.A.,2019,Dominican Republic,Oko Caribe,0.75,2," B,S",2.5,dry, earthy, walnut,,
1522,Chocovivo,U.S.A.,2015,Mexico,Tabasco,0.75,2," B,S",2.5,gritty, mild bitter, off notes,,
1522,Chocovivo,U.S.A.,2015,Mexico,Tabasco,0.65,2," B,S",2.5,coarse, sweet, sour, leathery,
1760,Chocolate Con Amor,U.S.A.,2016,Bolivia,Wild Bolivian,0.7,2," B,S",2.5,gritty, molasses, earthy,,
1772,Chocolate Alchemist-Philly,U.S.A.,2016,Blend,"Philly Blend, 5 plantations",0.8,2," B,S*",2.5,sticky, coconut, sour, bitter,
1772,Chocolate Alchemist-Philly,U.S.A.,2016,Peru,"Tumbes, ""Zarumilla""",0.9,2," B,S*",2.5,sticky, bitter, molasses, tart,
1215,Cacao Atlanta,U.S.A.,2014,Peru,Tumbes,0.75,2," B,S",2.5,roasty, almost burnt, intense,,
502,Cacao Atlanta,U.S.A.,2010,Dominican Republic,"Dominican Republic, ""Love Bar""",0.75,2," B,S",2.5,oily, buttery, intense,,
1486,Bisou,U.S.A.,2015,Costa Rica,"San Andres, American style",0.76,2," B,S",2.5,molasses, metallic, earthy,,
1482,Bisou,U.S.A.,2015,Nicaragua,"Nicaragua, American style",0.76,2," B,S",2.5,bitter, molasses, flour,,
1948,Xocolla,U.S.A.,2017,Dominican Republic,"Hispaniola, batch 170104",0.7,2," B,S",2.5,spciy, cardamom, off flavor,,
825,Woodblock,U.S.A.,2012,Ecuador,Ecuador,0.7,2," B,S",2.5,mild fruit, chemical off,,,
1026,twenty-four blackbirds,U.S.A.,2013,Bolivia,"Palos Blancos, batch 97",0.75,2," B,S",2.5,roasty, bitter, caramel, dairy,
1558,Ranger,U.S.A.,2015,Peru,"San Martin, Batch 2",0.7,2," B,S",2.5,oily, intense vinegar,,,
1315,Pitch Dark,U.S.A.,2014,Fiji,Namau Village,0.73,2," B,S",2.5,intense smoke, medicinal,,,
141,Askinosie,U.S.A.,2007,Mexico,Xoconusco,0.75,2," B,S",2.5,leather, black licorice, off,,
1403,Nathan Miller,U.S.A.,2014,Madagascar,Madagascar,0.735,2," B,S",2.5,intense, pungent, sour fruit,,
1403,Nathan Miller,U.S.A.,2014,Dominican Republic,Hispaniola,0.7,2," B,S*",2.5,grassy, dirt, mild spice,,
1287,Meadowlands,U.S.A.,2014,Bolivia,Bolivia,0.7,2," B,S",2.5,pungent, off,,,
999,Mast Brothers,U.S.A.,2012,Blend,Madagascar,0.72,2," B,S",2.5,gritty, overly tart, sour,,
1446,Mana,U.S.A.,2015,Ecuador,"Ecuador, batch 1212",0.74,2," B,S",2.5,soil, wet, off notes,,
2664,Madhu,U.S.A.,2021,Colombia,Tumaco,0.7,2," B,S",2.5,very sticky, nutty, woody,,
2538,Lirio,U.S.A.,2020,Sierra Leone,"Gola Rainforest, batch 920",0.72,2," B,S",2.5,grassy, rubbery, chemical,,
1422,Kto,U.S.A.,2014,Peru,San Martin,0.72,2," B,S",2.5,intense, pungent, tangy,,
2146,hexx,U.S.A.,2018,Ecuador,"Camino Verde, batch 0722",0.73,2," B,S*",2.5,harsh flavor, hay,,,
1514,Chocolarder,U.K.,2015,Dominican Republic,"Dominican Republic, batch 5",0.8,2," B,S",2.5,spicy, earthy off notes,,,
1482,Chocolarder,U.K.,2015,Peru,"Peru, batch C7",0.65,2," B,S",2.5,flat, metallic, floral,,
2194,Love Brown,Taiwan,2018,Nicaragua,Medalla,0.75,2," B,S",2.5,potting soil,,,,
2226,Cacao Betulia,Switzerland,2018,Colombia,"H. Betulia, Antioquia, B8",0.72,2," B,S",2.5,light color, dirty, musty,,
1327,Honest,South Africa,2014,Ecuador,"Ecuador, w/ nibs, batch 140224-1",0.72,2," B,S*",2.5,true to sugar, green, fatty,,
1606,Cacao Arabuco,Puerto Rico,2015,Puerto Rico,Puerto Rico,0.7,2," B,S",2.5,dirt, floral, sweet,,
1736,Feitoria Cacao,Portugal,2016,Venezuela,Cuyagua,0.76,2," B,S",2.5,fatty, sandy, nutty, off notes,
2290,Bonaterra,Malaysia,2019,Malaysia,"Keningau, Borneo Island",0.68,2," B,S",2.5,sweet, dirty, off notes,,
2382,Green Bean to Bar,Japan,2019,Peru,Nativo Blanco,0.73,2," B,S",2.5,sour grapes, pungent, ashey,,
1442,C-Amaro,Italy,2014,Cuba,Cuba,0.75,2," B,S",2.5,intense, ashey, earthen,,
765,C-Amaro,Italy,2011,Trinidad,Trinidad,0.7,2," B,S",2.5,burnt coffee, fatty,,,
431,Holy Cacao,Israel,2009,Ivory Coast,Ivory Coast,0.7,2," B,S",2.5,dry, sour, cheesey, off,
414,Hoja Verde (Tulicorp),Ecuador,2009,Ecuador,Manabi,0.8,2," B,S",2.5,sandy, perfume, nutty,,
2222,Definite,Dominican Republic,2018,Dominican Republic,Duarte Province,0.7,2," B,S",2.5,dirty, floral, unrefined,,
2222,Definite,Dominican Republic,2018,Dominican Republic,Elvesia,0.7,2," B,S",2.5,metallic, dirt/ earthy,,,
2362,Mellow,Denmark,2019,Ecuador,"Camino Verde, Duran Region",0.85,2," B,S*",2.5,floral, earthy, bitter,,
1916,Desbarres,Canada,2016,Tanzania,"Kilombero, batch 41",0.72,2," B,S",2.5,vanilla, chemical, rubber,,
2672,Avanaa,Canada,2021,Colombia,Tumaco,0.7,2," B,S",2.5,chemical, spice, earthy,,
999,Bahen & Co.,Australia,2012,Blend,Houseblend,0.7,2," B,S",2.5,chalky, fragrant, then off,,
999,Bahen & Co.,Australia,2012,Brazil,Bahia,0.7,2," B,S",2.5,chalky, intense, chemical,,
1113,Hotel Chocolat (Coppeneur),U.K.,2013,Ecuador,"Los Rios, H. Iara, 2012, 120hr c., batch 13092",1,1, B,2.5,candy,uncontrolled bitterness,,,
1776,Forteza (Cortes),Puerto Rico,2016,Dominican Republic,Puerto Rico,0.8,6,"B,S,C,V,L,Sa",2.75,vanilla, dried fruit, nuts,,
